run_index,seed,score,cosine_pearson,cosine_spearman,dot_pearson,dot_spearman,euclidean_pearson,euclidean_spearman,manhattan_pearson,manhattan_spearman
1,42,0.8439890214726631,0.8464749,0.8439890214726631,0.7693216,0.7640676723781035,0.8341713,0.8353504791873387,0.8335423,0.8346408567693743
2,43,0.8439890214726631,0.8464749,0.8439890214726631,0.7693216,0.7640676723781035,0.8341713,0.8353504791873387,0.8335423,0.8346408567693743
3,44,0.8439890214726631,0.8464749,0.8439890214726631,0.7693216,0.7640676723781035,0.8341713,0.8353504791873387,0.8335423,0.8346408567693743
4,45,0.8439890214726631,0.8464749,0.8439890214726631,0.7693216,0.7640676723781035,0.8341713,0.8353504791873387,0.8335423,0.8346408567693743
5,46,0.8439890214726631,0.8464749,0.8439890214726631,0.7693216,0.7640676723781035,0.8341713,0.8353504791873387,0.8335423,0.8346408567693743
6,47,0.8439890214726631,0.8464749,0.8439890214726631,0.7693216,0.7640676723781035,0.8341713,0.8353504791873387,0.8335423,0.8346408567693743
7,48,0.8439890214726631,0.8464749,0.8439890214726631,0.7693216,0.7640676723781035,0.8341713,0.8353504791873387,0.8335423,0.8346408567693743
8,49,0.8439890214726631,0.8464749,0.8439890214726631,0.7693216,0.7640676723781035,0.8341713,0.8353504791873387,0.8335423,0.8346408567693743
9,50,0.8439890214726631,0.8464749,0.8439890214726631,0.7693216,0.7640676723781035,0.8341713,0.8353504791873387,0.8335423,0.8346408567693743
10,51,0.8439890214726631,0.8464749,0.8439890214726631,0.7693216,0.7640676723781035,0.8341713,0.8353504791873387,0.8335423,0.8346408567693743
